,title,salary,jobtype,description,location
1863,Data Engineer / Data Scientist,,Remote,"Candidate responsibilities will be ranging from data engineering and machine learning, to data visualization and dashboard builds in Shiny App.",Remote•Remote
1864,Data Engineer,,Remote,Create data tools for data science and BI teams to assist them in building and optimizing our product into an innovative industry leader.,New York State•Remote
1865,Data Scientist,,Remote,Conduct data analysis tasks in conjunction with client data SMEs.This position requires the applicant to parse disparate data sources to find the patterns and…,United States+1 location•Remote
1866,Data Scientist,,,"2-3 years work experience developing data science projects.Execute on end-to-end data science projects (ideation, data engineering, modeling, interpretation,…","New York, NY 10019 (Midtown area)"
1867,Postdoctoral Research Associate,,,Individuals with skills and knowledge relevant to some of the following topics are encouraged to apply: energy resource planning & optimization; modeling of…,"Princeton, NJ 08544"
1868,"Manager, Data Science & Analytics","$110,700 - $135,300 a year",Remote,"Expert knowledge in data analysis and preparation, including experience with very large data sets (requiring big-data techniques) and sparse or poor-quality…",Remote•Remote
1869,Data Scientist,,,"The data scientist role involves solving technical, data-driven Healthcare problems using computer science, mathematical, predictive modeling and statistical…","Chicago, IL"
1870,Postdoctoral Scholar,"$60,000 - $65,000 a year",,"Research design and data analysis.Our MIDS program trains data scientists to manage and analyze the coming onslaught of big data, in a unique high-touch online…","Berkeley, CA 94720"
1871,Instructor - Operations and IT Management,,,Work experience related to data analytics implementation is highly desirable.Candidate must have at least a master’s degree in Data Analytics/Statistics/Data…,"St. Louis, MO 63108 (Central West End area)"
1872,Federal - ETL Developer Engineer Analyst,,,Participate in troubleshooting and resolving data integration issues such as data quality.Experience using Python and Spark/Python/SQL and common data science…,"San Antonio, TX+1 location"
1873,"Actuarial Director - Eden Prairie, NYC or Telecommuter",,Remote,"Experience deploying data science models in a production setting.Experience building robust data pipelines using a variety of data sources, programming…","Eden Prairie, MN 55346•Remote"
1874,Machine Learning for State Estimation and Decision Propagati...,,,"Recent graduate with a PhD in control systems, electrical, mechanical engineering, computer science, material science, mathematics, physics or other appropriate…","Adelphi, MD"
1875,FDA Robustness in Medical Artificial Intelligence/Machine Le...,,,"Proven track record of research and peer-reviewed publications in engineering, computer science, or another relevant field of study.","Silver Spring, MD"
1876,"Senior Actuarial Consultant, Life Insurance",,,"Expertise in at least one of the following functional areas as applied to the life insurance industry: predictive analytics / data science, experience studies,…","Atlanta, GA"
1877,Solution Strategist - Senior Analytics Manager,,,"Experience with multiple data platforms and terabyte level database, and data transformation and cleansing.Lead and contribute to projects that have advanced…","Woonsocket, RI"
1878,Post Market Surveillance Specialist - NxStage,,,"Performs queries to provide complaint data and ad hoc trend analysis on reported product problems/complaints.Responsible for receiving, reviewing, and entering…","Lawrence, MA 01843"
1879,"Sr. Manager Data Engineering - UHC M&R IS - Horsham, PA",,,Provide scalable solutions for handling large data volumes (Terabytes of data).Understanding of maintaining the security of company data; devise and implement…,"Horsham, PA 19044"
1880,"Principal Statistician / Associate Director, Early Oncology...",,,"Oversees or partners in the development of data quality assurance checks, ensuring accuracy and consistency of data released for statistical analysis.","San Francisco, CA+2 locations"
1881,Postdoctoral Fellow - Karczewski Lab,,,"Skilled with data science tools, including Hail or R (tidyverse).A strong background in computer science and/or computational biology is required; and…","Cambridge, MA 02142 (MIT area)"
1882,Financial Analytics Lead,,Remote,Claims data as well as data from CMS are utilized to project revenue generated from specific programs.Experience in managing data to support and influence…,"Louisville, KY•Remote"
1883,"Consultant, Data Engineering",,,"Working knowledge of data science.Understands Data Architecture, data profiling, data quality.Automated tests and tie outs, self-healing data jobs.","Austin, TX+2 locations"
1884,Clinical App & Analytical Svcs Sr Mgr,,,"Master’s degree or equivalent in data analytics or data science, data informatics, computer science or data science related field.","Thousand Oaks, CA"
1885,Data Scientist-HomeKit,,,"Foundation in data science, machine learning, and analytics, including statistical data analysis and A/B testing.","Santa Clara Valley, CA 95014"
1886,Co-op - Data Science (Fall 2021 Semester),,,"Develop and implement data processing, including data curation and normalization.Based in our Elyria, OH location, you will directly support two major projects…","Elyria, OH"
1887,Data Analyst - Machine Learning Modeling,,Remote,"3+ years’ hands-on experience in digital data analytics related roles, experience in analyzing large data set.Health benefits and 401K offered.",Remote•Remote
1888,Data Analyst,,,"Experience with statistical analysis/data science.Own the aggregation and reporting of manufacturing systems data, including – MES data, Shop floor trend data,…","Redmond, WA"
1889,"Vice President, Data Science/Advanced Analytics","$139,000 - $191,000 a year",Remote,"Lead RDNA's data strategy including data storage, data modeling, data engineering for use in analytics, data process automation, and business continuity.",Maryland•Remote
1890,Data Engineer,,,The marketing and data science team requires an experienced and all-purpose data engineer to architect and manage a data warehouse (e.g. a datalake) along with…,"Philadelphia, NY"
1891,Data Science Trainee Summer 2021,,,Integrate internal data with external data sources and APIs to discover and implement actionable insights.Strong data cleaning and preparation skills.,"Rockville, MD 20852"
1892,PostgreSQL CloudSQL Data Engineers,,,,"San Diego, CA"
